NDVI,NDRE,GNDVI,Serapan_K
0.2097,0.1801,0.2019,16.55
0.287,0.3015,0.1889,24.71
0.6451,0.6996,0.5914,37.97
0.7016,0.4997,0.6027,40.23
0.9316,0.8154,0.8865,54.69
0.8694,0.7513,0.8375,44.11
0.6273,0.535,0.6028,38.5
0.3594,0.4676,0.3197,30.16
0.5629,0.4631,0.4236,31.57
0.4074,0.2616,0.3704,28.09
0.5328,0.4283,0.4907,28.49
0.7541,0.5838,0.6785,43.1
0.4589,0.4215,0.4548,32.33
0.4029,0.3573,0.4132,23.6
0.764,0.7388,0.6534,48.19
0.4586,0.3795,0.4298,24.19
0.95,0.8373,0.8762,55.06
0.8249,0.6982,0.8209,52.41
0.5583,0.452,0.5089,34.88
0.9192,0.8102,0.935,54.64
0.7202,0.5472,0.704,31.83
0.8534,0.7248,0.8849,52.96
0.2982,0.3453,0.2849,27.55
0.422,0.3061,0.2722,19.35
0.95,0.7928,0.9145,53.22
0.4426,0.3555,0.4617,23.4
0.6035,0.4941,0.3993,27.33
0.2208,0.1133,0.2128,13.32
0.4885,0.4291,0.4149,33.8
0.1758,0.2633,0.2368,21.78
0.4816,0.3992,0.4911,34.26
0.7274,0.5932,0.6541,47.93
0.635,0.5036,0.506,33.44
0.7272,0.6302,0.6696,43.17
0.6931,0.5601,0.668,35.55
0.5834,0.4416,0.5858,31.41
0.7153,0.5698,0.6915,44.7
0.802,0.7241,0.7515,48.28
0.8882,0.7979,0.8641,46.91
0.5162,0.4566,0.5039,28.76
0.95,0.7809,0.913,52.81
0.8008,0.7036,0.7557,47.73
0.7649,0.6973,0.7468,39.45
0.7316,0.5405,0.7135,42.42
0.3561,0.2722,0.328,25.47
0.5151,0.3657,0.4241,27.81
0.4274,0.3499,0.3969,23.73
0.1741,0.1141,0.166,14.16
0.95,0.842,0.845,54.77
0.4157,0.1209,0.3488,20.2
0.307,0.1776,0.256,16.86
0.5029,0.4571,0.4662,34.22
0.7069,0.5764,0.6755,36.85
0.9015,0.6652,0.8533,50.76
0.7663,0.6342,0.682,34.95
0.7367,0.6204,0.7667,39.59
0.8444,0.5472,0.6853,46.62
0.95,0.7505,0.8081,53.21
0.7654,0.6814,0.826,43.54
0.4174,0.5018,0.3561,34.11
0.5616,0.4967,0.5604,35.84
0.4093,0.445,0.3516,32.78
0.5713,0.6425,0.4702,38.53
0.6568,0.4552,0.5152,30.29
0.4193,0.3508,0.3499,22.95
0.5435,0.5358,0.555,28.88
0.8502,0.6423,0.7903,46.52
0.2369,0.2019,0.189,18.12
0.9345,0.8199,0.8683,49.47
0.7782,0.7343,0.56,46.49
0.4267,0.3858,0.4336,25.88
0.9045,0.6769,0.804,51.17
0.8839,0.7114,0.7549,49.97
0.5617,0.4622,0.5832,37.22
0.6992,0.6301,0.6483,36.98
0.7757,0.6222,0.6196,34.85
0.1193,0.2208,0.1578,19.33
0.4193,0.3822,0.373,32.55
0.8455,0.7033,0.8067,42.92
0.9132,0.7596,0.8566,46.16
0.4986,0.3954,0.5033,35.2
0.705,0.5787,0.6775,42.16
0.5636,0.4232,0.5534,33.07
0.5821,0.5606,0.5485,39.15
0.3717,0.3814,0.377,31.26
0.4838,0.4239,0.4242,32.96
0.4631,0.3923,0.392,35.24
0.5408,0.3774,0.5178,32.53
0.95,0.9108,0.95,60.0
0.9305,0.7836,0.881,45.74
0.5748,0.5039,0.5552,37.28
0.1,0.1149,0.1,13.22
0.6463,0.4975,0.6803,40.96
0.3138,0.2244,0.2739,18.04
0.7228,0.6322,0.6517,44.27
0.9428,0.8012,0.8806,42.79
0.95,0.8569,0.7605,57.1
0.4851,0.308,0.4505,25.01
0.5477,0.4541,0.5343,35.13
0.8266,0.7256,0.7775,49.63
0.462,0.246,0.3284,30.66
0.8014,0.7149,0.7432,51.71
0.524,0.3951,0.3629,34.87
0.4253,0.3345,0.296,32.36
0.8035,0.6023,0.7384,46.77
0.2305,0.1463,0.2301,15.66
0.8112,0.5627,0.638,35.64
0.3669,0.3354,0.3571,29.65
0.7296,0.624,0.5618,43.7
0.3592,0.2582,0.3096,20.09
0.6811,0.5834,0.7234,42.7
0.95,0.933,0.95,55.04
0.4145,0.3598,0.4145,31.13
0.2235,0.1543,0.1918,16.51
0.4843,0.3593,0.4684,31.0
0.7012,0.5811,0.5618,32.81
0.6536,0.4894,0.566,34.77
0.5692,0.4667,0.5081,36.64
0.95,0.8113,0.9277,51.29
0.7589,0.5017,0.6193,34.56
0.4035,0.3438,0.3797,24.17
0.6598,0.5889,0.6434,36.62
0.246,0.195,0.1391,14.4
0.5297,0.4207,0.5099,35.21
0.517,0.5349,0.4857,34.14
0.6059,0.51,0.5588,36.64
0.5384,0.2183,0.5605,23.41
0.4586,0.3703,0.3667,33.33
0.358,0.3172,0.3274,27.13
0.9493,0.7508,0.8256,54.87
0.3111,0.2876,0.3193,20.38
0.2523,0.2865,0.2011,24.87
0.7436,0.6342,0.7251,39.51
0.4324,0.4976,0.3425,33.67
0.7223,0.6328,0.6874,38.39
0.4729,0.3779,0.4595,31.65
0.1787,0.2028,0.1728,16.61
0.3444,0.2415,0.2761,16.58
0.7708,0.646,0.6733,45.63
0.608,0.5207,0.6043,39.1
0.7825,0.6448,0.623,44.67
0.5616,0.4693,0.605,34.08
0.2756,0.5224,0.2896,28.09
0.6559,0.5995,0.5999,39.93
0.4126,0.3316,0.4205,28.54
0.5415,0.4393,0.5128,35.41
0.234,0.234,0.2018,18.21
0.7236,0.5589,0.6831,35.68
0.3426,0.3906,0.2544,22.98
0.5724,0.4779,0.5271,35.84
0.5925,0.5272,0.5688,39.25
0.2936,0.2424,0.2783,21.63
0.608,0.4878,0.5176,30.63
0.4673,0.3546,0.4418,28.04
0.4475,0.3805,0.4118,31.13
0.9014,0.7376,0.7554,49.93
0.6741,0.5745,0.6606,36.48
0.95,0.7228,0.8272,51.59
0.6042,0.5138,0.5535,36.7
0.8873,0.6934,0.7995,37.94
0.505,0.4568,0.4921,28.92
0.1985,0.2213,0.185,16.89
0.3002,0.4756,0.2954,30.21
0.6162,0.5026,0.5581,36.81
0.4455,0.3026,0.2726,20.13
0.7115,0.5614,0.7325,42.42
0.1926,0.2645,0.2497,24.39
0.6606,0.5858,0.519,40.97
0.5867,0.4754,0.5165,29.7
0.7432,0.6349,0.7394,45.65
0.3145,0.2353,0.3147,18.49
0.1,0.1,0.1,8.17
0.7686,0.6956,0.8293,48.16
0.6299,0.5212,0.6096,39.12
0.3392,0.2478,0.3409,20.51
0.7649,0.6383,0.7751,49.0
0.9251,0.8349,0.8012,56.83
0.3628,0.3159,0.2403,19.39
0.95,0.8947,0.95,54.15
0.6738,0.6152,0.6575,42.89
0.1725,0.1251,0.1661,14.46
0.95,0.6717,0.8146,50.52
0.5841,0.5405,0.523,37.56
0.8119,0.6437,0.7614,40.71
0.4161,0.4179,0.4561,30.98
0.7851,0.7086,0.7606,48.56
0.343,0.3794,0.3053,28.46
0.1674,0.1846,0.1485,16.89
0.4502,0.3239,0.3787,23.88
0.587,0.5331,0.5592,32.79
0.95,0.9451,0.95,60.0
0.7742,0.6181,0.7442,44.88
0.2901,0.4579,0.2456,27.8
0.9059,0.7034,0.7577,49.5
0.843,0.6086,0.8128,37.56
0.95,0.8004,0.9282,51.61
0.6379,0.6158,0.624,33.77
0.6203,0.5622,0.5741,36.04
0.7526,0.6349,0.6198,47.1
0.3099,0.2941,0.2317,25.73
0.7663,0.6607,0.7133,41.84
0.383,0.2955,0.2062,20.16
0.3738,0.2982,0.3833,20.05
0.7322,0.5725,0.6663,45.27
0.4373,0.3688,0.4032,24.93
0.6659,0.5364,0.6602,40.96
0.7633,0.6916,0.7672,50.8
0.2651,0.2202,0.1777,23.88
0.5972,0.5021,0.6019,37.52
0.2344,0.3551,0.2218,24.73
0.835,0.6555,0.7757,45.53
0.5494,0.4844,0.4394,35.34
0.4299,0.3481,0.3778,24.47
0.6636,0.5746,0.6624,41.62
0.534,0.34,0.4722,26.18
0.7182,0.6674,0.6057,36.82
0.475,0.4207,0.4423,33.57
0.6731,0.6136,0.6674,42.61
0.3257,0.2692,0.3593,19.62
0.6139,0.5283,0.5729,29.79
0.2043,0.2134,0.2852,22.78
0.4435,0.4119,0.3833,24.33
0.7823,0.6231,0.7267,40.54
0.5139,0.3862,0.4957,33.36
0.5347,0.4822,0.5177,30.49
0.3175,0.2686,0.2144,17.39
0.6788,0.6864,0.4501,39.83
0.5709,0.3687,0.4895,38.81
0.7072,0.5605,0.619,44.22
0.9098,0.7268,0.8934,52.48
0.4484,0.4054,0.3871,30.0
0.4823,0.4722,0.5287,25.03
0.4401,0.3117,0.3833,23.77
0.4052,0.2838,0.4052,23.54
0.3976,0.2551,0.3233,21.72
0.9433,0.8528,0.9321,50.86
0.5309,0.5158,0.5001,36.88
0.6905,0.6229,0.6178,41.67
0.3305,0.2622,0.3079,18.32
0.6756,0.5742,0.4955,42.57
0.9067,0.7458,0.8278,52.8
0.1567,0.1516,0.1418,14.17
0.95,0.7616,0.8556,55.44
0.4068,0.3428,0.3062,29.56
0.6156,0.4216,0.6559,39.98
0.5449,0.4784,0.5479,29.49
0.5082,0.4357,0.4867,35.01
0.9195,0.7401,0.8036,52.25
0.1225,0.1,0.1245,15.23
0.22,0.1,0.3071,20.75
0.7709,0.6726,0.719,44.19
0.511,0.455,0.4975,36.59
0.4374,0.3724,0.413,27.09
0.1,0.1379,0.1856,16.79
0.5299,0.4395,0.3965,25.31
0.3847,0.2939,0.3318,27.25
0.1581,0.1266,0.2359,16.56
0.2613,0.2227,0.2295,22.1
0.3082,0.3097,0.2655,27.87
0.4525,0.4046,0.4581,32.32
0.6892,0.6168,0.6542,41.1
0.2176,0.1736,0.2127,13.82
0.3872,0.2378,0.3853,17.72
0.3068,0.2446,0.2921,26.34
0.4679,0.397,0.4426,28.18
0.6015,0.4606,0.5325,27.31
0.8689,0.7193,0.8093,37.49
0.8567,0.7082,0.8093,48.16
0.733,0.5857,0.6627,38.18
0.6239,0.5795,0.5993,37.23
0.3061,0.222,0.1699,24.41
0.3313,0.2652,0.278,22.34
0.4409,0.343,0.3705,24.06
0.5529,0.4232,0.5155,34.47
0.4615,0.331,0.4411,28.59
0.6693,0.5955,0.6484,36.44
0.7025,0.5465,0.6598,38.35
0.5165,0.5958,0.3766,32.05
0.8678,0.6474,0.95,52.68
0.3277,0.2597,0.314,20.65
0.398,0.2451,0.4676,28.78
0.4992,0.3683,0.4284,33.65
0.95,0.7918,0.788,53.54
0.7411,0.6484,0.6867,36.08
0.5861,0.5135,0.5378,35.86
0.5657,0.5516,0.4936,38.91
0.5692,0.5705,0.42,36.6
0.6199,0.5339,0.6039,35.98
0.921,0.6758,0.7656,49.03
0.6963,0.5909,0.5865,36.99
0.5288,0.4402,0.4238,25.04
0.1143,0.1165,0.1057,14.24
0.3722,0.2875,0.3111,22.21
0.5034,0.4171,0.452,27.21
0.583,0.4679,0.5963,30.79
0.9227,0.8041,0.8428,49.22
0.3176,0.2533,0.3091,19.51
0.6388,0.4602,0.6242,34.78
0.6877,0.6229,0.6104,33.75
0.2588,0.4451,0.2822,27.93
0.7949,0.7072,0.8313,46.99
0.4151,0.3481,0.4027,22.57
0.2758,0.2111,0.2505,18.25
0.2921,0.3013,0.2617,26.97
0.1183,0.13,0.1276,14.28
0.4227,0.3522,0.413,32.02
0.8088,0.6662,0.6308,38.98
0.75,0.6123,0.7174,43.65
0.4143,0.4341,0.3455,30.61
0.6896,0.5449,0.6846,42.94
0.5236,0.4089,0.4647,35.05
0.5045,0.4157,0.5396,28.86
0.5698,0.4517,0.5318,28.07
0.6313,0.4989,0.5142,30.07
0.504,0.5036,0.4801,34.47
0.6541,0.5017,0.5575,32.4
0.926,0.708,0.8614,38.9
0.2296,0.1823,0.204,15.79
0.7616,0.6906,0.7782,45.77
0.41,0.3564,0.4075,29.59
0.95,0.9334,0.95,53.09
0.8224,0.7905,0.7445,45.32
0.95,0.8224,0.8811,57.24
0.6807,0.6733,0.6542,38.23
0.8917,0.7353,0.7742,49.3
0.1478,0.1433,0.1,17.39
0.5605,0.4798,0.5575,36.38
0.4419,0.3754,0.3998,23.83
0.247,0.36,0.2057,26.63
0.7808,0.5999,0.7838,41.3
0.4472,0.357,0.4199,31.02
0.2737,0.3321,0.1836,23.9
0.5889,0.4772,0.562,32.41
0.4732,0.4457,0.4431,26.44
0.7067,0.6012,0.7156,42.94
0.4997,0.4495,0.5232,29.12
0.1947,0.17,0.1937,15.48
0.95,0.95,0.9065,60.0
0.5845,0.505,0.5607,30.15
0.753,0.6792,0.7296,39.49
0.4393,0.3612,0.3849,24.62
0.7562,0.6397,0.7674,37.96
0.7725,0.654,0.7325,45.37
0.2468,0.1936,0.1714,15.61
0.6148,0.4646,0.5991,39.47
0.6491,0.5763,0.6512,32.83
0.649,0.4724,0.5174,40.71
0.4198,0.3982,0.4109,24.89
0.7758,0.6782,0.7232,34.57
0.6883,0.5765,0.681,37.21
0.5352,0.4788,0.5019,36.33
0.8094,0.6788,0.7233,38.36
0.1178,0.2166,0.3131,21.18
0.4924,0.4449,0.4804,32.55
0.6446,0.5514,0.6179,34.3
0.6688,0.5152,0.6385,35.52
0.5968,0.41,0.5267,35.89
0.7518,0.6176,0.807,47.72
0.7434,0.7116,0.7706,46.7
0.2422,0.1726,0.25,13.82
0.5522,0.5021,0.5584,30.86
0.7185,0.6849,0.6932,46.14
0.9475,0.8087,0.9139,50.15
0.6392,0.49,0.6468,34.69
0.2951,0.246,0.427,24.57
0.8589,0.7154,0.8628,54.04
0.4153,0.3337,0.2716,29.83
0.95,0.6463,0.8431,51.24
0.3949,0.3158,0.3942,22.85
0.594,0.4138,0.532,29.35
0.406,0.3,0.3372,22.71
0.4319,0.3586,0.3905,29.25
0.3149,0.2714,0.3016,19.55
0.736,0.65,0.6938,46.97
0.95,0.6534,0.879,41.8
0.4738,0.4165,0.4592,26.1
0.5723,0.3707,0.5767,27.0
0.7027,0.6381,0.7246,35.94
0.1875,0.1078,0.1616,12.09
0.7802,0.5568,0.6739,35.66
0.95,0.73,0.8619,55.74
0.4549,0.3884,0.3922,24.52
0.6308,0.546,0.5848,39.63
0.7909,0.697,0.7522,36.93
0.8075,0.6589,0.6058,50.94
0.467,0.4485,0.395,25.76
0.775,0.6488,0.7757,49.66
0.3336,0.2641,0.3087,18.93
0.9492,0.5624,0.8182,48.78
0.3858,0.3797,0.3675,27.61
0.9186,0.7649,0.8437,45.22
0.3756,0.3643,0.379,24.52
0.6755,0.6078,0.6218,40.72
0.7709,0.6556,0.692,50.93
0.4938,0.3886,0.4097,26.26
0.5447,0.4454,0.5016,34.85
0.3754,0.2849,0.401,26.69
0.485,0.3672,0.4258,24.13
0.5071,0.4217,0.4656,33.71
0.5266,0.532,0.4122,31.33
0.7996,0.6314,0.7457,49.71
0.3644,0.2937,0.2986,20.82
0.95,0.9485,0.8827,60.0
0.3049,0.2212,0.1972,24.93
0.2496,0.3831,0.2163,26.86
0.95,0.9384,0.95,51.12
0.6275,0.3999,0.567,32.31
0.7019,0.6035,0.6865,43.5
0.571,0.4465,0.5066,30.0
0.9101,0.834,0.6996,42.62
0.7725,0.6513,0.734,38.06
0.5846,0.4822,0.5581,31.75
0.9197,0.6572,0.7942,49.7
0.7161,0.5927,0.6882,39.98
0.3233,0.4749,0.3402,30.22
0.3995,0.3768,0.3591,31.25
0.9337,0.7327,0.7779,52.84
0.5887,0.555,0.444,31.69
0.5819,0.5041,0.5397,36.92
0.5516,0.3862,0.4693,27.72
0.7875,0.4914,0.6268,41.93
0.3983,0.3048,0.3908,26.86
0.4594,0.4359,0.352,35.95
0.102,0.1,0.1,11.79
0.5799,0.469,0.5435,36.68
0.8664,0.6627,0.6979,42.91
0.5158,0.4052,0.4873,32.74
0.5615,0.5108,0.512,35.84
0.7279,0.5667,0.683,40.09
0.6206,0.5764,0.5971,37.3
0.7999,0.6978,0.7599,41.76
0.3386,0.2368,0.2921,20.23
0.899,0.773,0.8141,52.11
0.8123,0.6345,0.7344,44.56
0.4304,0.3615,0.385,25.76
0.8823,0.6935,0.9392,49.87
0.2863,0.2006,0.2191,17.34
0.7605,0.633,0.7113,38.23
0.95,0.8501,0.8295,56.2
0.874,0.8008,0.7444,43.26
0.95,0.8628,0.8337,49.61
0.6989,0.6179,0.6415,42.18
0.1617,0.1387,0.1891,14.12
0.1778,0.1,0.1,9.62
0.7381,0.6538,0.5846,45.26
0.7894,0.6827,0.7334,41.62
0.2136,0.2036,0.1942,14.67
0.8299,0.681,0.7955,41.62
0.4298,0.3857,0.3744,26.98
0.782,0.6601,0.7309,45.26
0.8805,0.7433,0.916,54.3
0.95,0.9017,0.95,50.97
0.4245,0.359,0.4248,26.11
0.663,0.5631,0.6379,32.84
0.5698,0.5179,0.5656,31.72
0.4778,0.3086,0.4476,35.19
0.9202,0.6876,0.8071,39.02
0.2621,0.2561,0.2474,17.58
0.648,0.5709,0.5588,34.51
0.2497,0.2401,0.2338,22.74
0.1,0.129,0.1705,16.94
0.3773,0.2931,0.3735,22.29
0.4005,0.339,0.4192,23.87
0.7788,0.6802,0.6329,48.23
0.7215,0.6543,0.6143,38.81
0.95,0.95,0.95,52.52
