NDVI,NDRE,GNDVI,SAVI,EVI,OSAVI,MSAVI,GCI,RECI,NDWI,Serapan_K
0.1327,0.2026,0.1863,0.1153,0.1543,0.1249,0.1094,0.458,0.5083,-0.1863,43.4287
0.7511,0.3001,0.2273,0.6367,1.0704,0.6991,0.6609,0.5884,0.8575,-0.2273,79.0906
0.7657,0.3752,0.1352,0.6062,1.7452,0.6905,0.6315,0.3127,1.201,-0.1352,86.9897
0.4592,0.3359,0.2642,0.431,0.4661,0.4471,0.4286,0.7183,1.0115,-0.2642,70.6071
0.3286,0.3264,0.5302,0.3122,0.2922,0.3216,0.3088,2.2567,0.9693,-0.5302,67.5639
0.3999,0.0022,0.1884,0.3618,0.3365,0.3832,0.3559,0.4643,0.0044,-0.1884,47.4792
0.5355,0.4351,0.5114,0.5222,0.5463,0.5299,0.5226,2.0937,1.5405,-0.5114,88.619
0.7143,-0.0493,0.2217,0.5772,0.6689,0.6504,0.592,0.5697,-0.094,-0.2217,53.6527
0.7302,0.3618,0.463,0.6407,1.2288,0.6903,0.6601,1.7246,1.1339,-0.463,91.1742
0.7211,0.3989,0.5555,0.6071,1.006,0.6691,0.625,2.4999,1.3271,-0.5555,90.4322
0.7669,0.0497,0.2768,0.6382,1.6546,0.7078,0.666,0.7653,0.1046,-0.2768,70.2151
0.3471,0.2015,0.5566,0.3344,0.3813,0.3417,0.3319,2.5104,0.5046,-0.5566,64.1757
0.636,0.2948,0.3836,0.6307,0.682,0.6338,0.6317,1.2445,0.8359,-0.3836,79.5604
0.4453,0.1018,0.0995,0.3606,1.0458,0.4059,0.3485,0.221,0.2266,-0.0995,50.6426
0.6696,0.2273,0.4442,0.6186,2.0054,0.6475,0.6275,1.5983,0.5885,-0.4442,81.2786
0.6305,0.1859,0.5598,0.617,0.9687,0.6248,0.6193,2.5434,0.4568,-0.5598,77.3434
0.7466,0.3963,0.3622,0.6446,1.0997,0.7008,0.6676,1.1359,1.313,-0.3622,87.1359
0.7881,0.4137,0.6795,0.7371,1.2113,0.7662,0.7574,4.241,1.4111,-0.6795,106.1196
0.4358,0.1315,0.3071,0.4202,0.3942,0.4292,0.4187,0.8863,0.303,-0.3071,55.136
0.6445,0.2116,0.0993,0.5186,0.7157,0.5857,0.5216,0.2206,0.5369,-0.0993,60.8758
0.8168,0.2364,0.3604,0.7473,1.1444,0.7865,0.7773,1.1272,0.6191,-0.3604,82.4372
0.4806,0.1102,0.418,0.3826,0.4082,0.4346,0.3706,1.4362,0.2477,-0.418,59.2538
0.4714,0.5379,0.3574,0.4766,0.7733,0.4735,0.4768,1.1124,2.3277,-0.3574,89.6874
0.6571,0.3106,0.3784,0.6377,1.6882,0.6489,0.6417,1.2177,0.9012,-0.3784,83.7342
0.4358,0.1172,0.6754,0.4127,0.5206,0.4259,0.4103,4.1616,0.2655,-0.6754,73.2869
0.301,-0.0348,0.5331,0.2848,0.3427,0.2941,0.281,2.2834,-0.0673,-0.5331,48.3156
0.7821,0.165,0.238,0.5895,1.1038,0.6889,0.6145,0.6248,0.3953,-0.238,72.5143
0.7443,0.1701,0.5763,0.6101,0.7603,0.6822,0.6321,2.7207,0.41,-0.5763,78.959
0.4929,0.222,0.369,0.4719,0.5632,0.484,0.4712,1.1697,0.5707,-0.369,65.8754
0.24,0.009,0.056,0.2121,0.2216,0.2276,0.2043,0.1187,0.0182,-0.056,34.9826
0.4005,0.249,0.3706,0.322,0.2988,0.3638,0.3083,1.1775,0.6631,-0.3706,61.6861
0.743,-0.0322,0.1653,0.5713,1.4021,0.6608,0.5883,0.396,-0.0623,-0.1653,66.666
0.7811,0.3011,0.6747,0.666,8.2434,0.729,0.6971,4.1477,0.8615,-0.6747,139.6166
0.7481,0.0465,0.4535,0.6157,1.1112,0.687,0.6387,1.6595,0.0975,-0.4535,70.4439
0.6921,0.2862,0.1797,0.5874,0.8844,0.6446,0.6005,0.4381,0.8019,-0.1797,72.9245
0.3374,0.2421,0.3027,0.3134,0.435,0.327,0.3084,0.8684,0.6388,-0.3027,58.8383
0.414,0.45,0.4216,0.4105,0.5319,0.4126,0.4101,1.458,1.6364,-0.4216,80.8272
0.7101,0.2114,0.1335,0.5716,0.8908,0.6454,0.5854,0.3081,0.5361,-0.1335,62.3939
0.4422,0.1488,0.6316,0.4344,0.539,0.4389,0.4337,3.4288,0.3495,-0.6316,68.7516
0.5066,0.2596,0.748,0.5015,0.6202,0.5045,0.5015,5.9365,0.7012,-0.748,94.8874
0.2594,-0.2196,0.4116,0.2119,0.2057,0.2374,0.1998,1.3992,-0.3601,-0.4116,31.5447
0.3941,0.1207,0.4063,0.3757,0.324,0.3863,0.373,1.3685,0.2747,-0.4063,57.0394
0.6757,0.1679,0.3823,0.5783,0.8258,0.6317,0.589,1.2377,0.4037,-0.3823,69.8397
0.6309,0.3674,0.4005,0.6254,0.8477,0.6286,0.6264,1.3361,1.1618,-0.4005,83.8587
0.4308,-0.2599,-0.0235,0.3155,0.6481,0.3742,0.2966,-0.0459,-0.4125,0.0235,34.5614
0.5067,0.4358,0.6001,0.4827,0.504,0.4965,0.4822,3.0011,1.5447,-0.6001,90.6872
0.5668,0.0332,0.3076,0.4482,0.9582,0.5109,0.4412,0.8885,0.0688,-0.3076,58.3976
0.6391,0.1787,0.5576,0.6332,0.7145,0.6366,0.6344,2.5211,0.4352,-0.5576,73.8127
0.5828,-0.0128,0.6079,0.478,1.0092,0.5343,0.4752,3.1005,-0.0252,-0.6079,68.94
0.2933,-0.1449,0.5395,0.2269,0.4195,0.2616,0.2115,2.3435,-0.2531,-0.5395,45.8181
0.7953,0.2968,0.4029,0.7613,2.2225,0.7808,0.7763,1.3495,0.8441,-0.4029,89.2324
0.4749,0.3264,0.4944,0.4232,0.6196,0.452,0.4185,1.9553,0.9692,-0.4944,74.4291
0.5188,0.0968,0.2636,0.4573,0.5338,0.4915,0.4541,0.716,0.2144,-0.2636,60.4725
0.7462,0.4187,0.4266,0.6306,1.9014,0.6936,0.6537,1.4879,1.4407,-0.4266,98.0733
0.6116,0.2456,0.6873,0.6027,1.1974,0.6079,0.604,4.3953,0.6513,-0.6873,88.7058
0.6898,0.3016,0.5513,0.583,1.3361,0.6412,0.5956,2.4569,0.8639,-0.5513,84.4139
0.1831,0.0423,0.2375,0.1417,0.3159,0.1633,0.13,0.6228,0.0883,-0.2375,41.4012
0.604,0.5363,0.3842,0.5952,1.3571,0.6003,0.5964,1.2478,2.3131,-0.3842,97.6731
0.7234,0.2414,0.733,0.6619,0.8331,0.6966,0.6773,5.4906,0.6366,-0.733,102.2834
0.5761,0.3547,0.7058,0.5427,0.5221,0.5618,0.5447,4.7979,1.0992,-0.7058,93.4324
0.4651,-0.0799,0.1331,0.3422,0.3709,0.4049,0.3242,0.307,-0.148,-0.1331,41.4137
0.4459,0.2627,0.381,0.4373,0.7055,0.4423,0.4367,1.2311,0.7128,-0.381,66.8039
0.6032,0.2705,0.3456,0.561,1.5009,0.585,0.5645,1.0561,0.7416,-0.3456,76.2124
0.8206,0.3532,0.5147,0.7703,1.1287,0.799,0.794,2.1211,1.0922,-0.5147,95.7771
0.3363,0.2914,0.4501,0.3148,0.3046,0.3271,0.3104,1.6369,0.8227,-0.4501,71.394
0.4261,0.4713,0.3016,0.4141,0.4802,0.421,0.4128,0.8638,1.7828,-0.3016,83.9859
0.7163,0.1692,0.5138,0.6786,0.9124,0.7002,0.689,2.1133,0.4072,-0.5138,80.1624
0.6358,0.3248,0.4481,0.5317,0.88,0.5881,0.536,1.6238,0.9622,-0.4481,74.0298
0.7817,-0.0198,0.6192,0.6445,2.2762,0.7184,0.676,3.2527,-0.0389,-0.6192,83.5572
0.4724,-0.0237,0.507,0.3509,0.5724,0.4132,0.3338,2.0569,-0.0463,-0.507,58.1138
0.725,0.0197,0.5126,0.5199,2.5647,0.6233,0.5249,2.1033,0.0402,-0.5126,75.8161
0.3542,0.441,0.3261,0.3397,0.3645,0.3481,0.3369,0.968,1.5777,-0.3261,78.9065
0.3239,-0.0319,0.1923,0.2797,0.2244,0.304,0.2699,0.476,-0.0618,-0.1923,40.1268
0.35,0.1613,0.387,0.2819,0.3263,0.3182,0.2679,1.2627,0.3846,-0.387,53.8515
0.5952,0.3966,0.3074,0.5182,0.8052,0.5607,0.52,0.8879,1.3146,-0.3074,77.3643
0.7924,0.2267,0.7305,0.7533,1.284,0.7757,0.77,5.4214,0.5862,-0.7305,102.8594
0.4492,0.076,0.0699,0.3602,0.4421,0.4075,0.3475,0.1504,0.1646,-0.0699,49.3359
0.6964,0.2108,0.6688,0.6395,1.0884,0.6717,0.6514,4.0386,0.5341,-0.6688,89.5905
0.4022,0.2539,0.6375,0.3983,0.4103,0.4006,0.3978,3.5173,0.6806,-0.6375,73.6351
0.8032,0.5298,0.4796,0.7258,0.9393,0.7693,0.7558,1.8434,2.2538,-0.4796,112.1181
0.6679,0.2029,0.3922,0.6476,0.8087,0.6594,0.6521,1.2905,0.509,-0.3922,74.9944
0.7971,0.202,0.1285,0.6058,-62.984,0.705,0.6363,0.2949,0.5064,-0.1285,5.0
0.5381,0.0389,0.5935,0.5041,0.4707,0.5235,0.5043,2.9203,0.081,-0.5935,67.7518
0.3306,-0.2005,0.5166,0.2663,0.2266,0.3006,0.2524,2.1377,-0.334,-0.5166,41.7329
0.7719,0.1437,0.3209,0.6906,1.0481,0.7361,0.716,0.9449,0.3356,-0.3209,73.1427
0.4282,0.0526,0.3467,0.388,0.5089,0.4106,0.3828,1.0612,0.1111,-0.3467,50.242
0.7174,0.4056,0.216,0.5899,6.2559,0.6585,0.6064,0.551,1.3645,-0.216,114.5194
0.5571,0.175,0.2474,0.5144,1.3545,0.5386,0.5152,0.6576,0.4242,-0.2474,68.5533
0.5827,0.051,0.3764,0.5041,1.881,0.5474,0.5045,1.2073,0.1076,-0.3764,61.8664
0.7203,0.5222,0.4876,0.6658,0.7925,0.6967,0.6798,1.9029,2.1857,-0.4876,102.7639
0.7475,0.1921,0.3507,0.6404,1.7416,0.6992,0.6637,1.0805,0.4756,-0.3507,76.5944
0.8015,0.0984,0.4428,0.7414,1.5461,0.7755,0.7662,1.5897,0.2183,-0.4428,74.433
0.7616,0.3606,0.2995,0.5875,0.8329,0.6784,0.6094,0.8552,1.1277,-0.2995,78.0852
0.6044,0.1974,0.5405,0.5586,1.5033,0.5846,0.5623,2.3521,0.4919,-0.5405,74.8412
0.3045,0.3313,0.2686,0.2661,0.2444,0.2873,0.257,0.7346,0.9909,-0.2686,58.1111
0.4117,0.3378,0.2509,0.3959,0.6894,0.405,0.3939,0.67,1.0201,-0.2509,73.4925
0.3984,-0.0036,0.0991,0.3449,0.4656,0.3744,0.336,0.22,-0.0073,-0.0991,38.9979
0.3904,0.1104,0.2037,0.2855,0.2994,0.3389,0.2662,0.5117,0.2481,-0.2037,47.5185
0.407,0.1361,0.2116,0.3647,0.4002,0.3884,0.3583,0.5369,0.315,-0.2116,52.9576
0.6718,0.0585,0.3849,0.6148,0.7445,0.647,0.6244,1.2516,0.1243,-0.3849,63.8322
0.2984,-0.0081,0.4345,0.2547,0.2696,0.2786,0.2443,1.5369,-0.0161,-0.4345,45.107
0.3723,0.1583,0.6816,0.3573,0.4104,0.366,0.3548,4.2806,0.3762,-0.6816,77.5263
0.6607,-0.2053,0.5375,0.4608,2.0316,0.5601,0.4524,2.3243,-0.3406,-0.5375,61.5933
0.482,0.0369,0.6377,0.4522,0.5556,0.4692,0.4504,3.5206,0.0766,-0.6377,67.0047
0.4055,0.1218,0.3293,0.2942,0.3583,0.3506,0.2745,0.982,0.2774,-0.3293,50.1991
0.1475,0.0205,-0.037,0.1173,0.1364,0.1333,0.1081,-0.0714,0.0419,0.037,30.1085
0.3202,0.3794,0.4993,0.3014,0.3016,0.3122,0.2973,1.9948,1.2227,-0.4993,69.6503
0.6187,-0.1039,0.1471,0.4884,0.734,0.5572,0.4866,0.345,-0.1882,-0.1471,45.031
0.7607,-0.0573,0.3061,0.5912,1.0201,0.68,0.6136,0.8823,-0.1083,-0.3061,57.8866
0.4955,0.0216,0.6305,0.465,0.47,0.4824,0.4636,3.4131,0.0442,-0.6305,62.2868
0.8295,0.1915,0.3981,0.7822,1.5191,0.8092,0.8057,1.3228,0.4736,-0.3981,79.7577
0.4401,0.3853,0.1945,0.4013,0.4881,0.4232,0.3968,0.4828,1.2536,-0.1945,70.4362
0.5299,0.0685,0.2634,0.5023,0.9943,0.5181,0.5024,0.7152,0.147,-0.2634,61.9072
0.8306,0.4904,0.3115,0.7032,2.9672,0.7727,0.7489,0.905,1.9245,-0.3115,113.1375
0.5403,0.09,0.235,0.4569,1.0169,0.5024,0.4526,0.6142,0.1977,-0.235,54.7176
0.5882,0.107,0.4133,0.5432,0.698,0.5687,0.5458,1.4091,0.2396,-0.4133,58.9758
0.7667,-0.1406,0.3302,0.5596,1.0565,0.6649,0.5762,0.986,-0.2465,-0.3302,57.2235
0.6694,0.3842,0.2944,0.6369,1.183,0.6555,0.6435,0.8344,1.2477,-0.2944,82.8963
0.3997,-0.0129,0.577,0.336,0.5526,0.3706,0.3252,2.7285,-0.0254,-0.577,57.7788
0.7468,0.1808,-0.0123,0.5065,0.6827,0.6242,0.5083,-0.0243,0.4415,0.0123,62.1178
0.7008,0.0752,0.4842,0.5761,0.7151,0.6432,0.5894,1.8775,0.1627,-0.4842,70.2061
0.2272,0.225,0.231,0.2001,0.1994,0.2151,0.1922,0.6008,0.5808,-0.231,53.1906
0.5176,0.0754,0.2649,0.4155,0.45,0.4699,0.4061,0.7209,0.163,-0.2649,50.9456
0.6595,0.0272,0.3998,0.5931,2.1718,0.6303,0.6019,1.332,0.056,-0.3998,70.9986
0.4572,0.3958,0.2818,0.4049,0.772,0.434,0.3991,0.7847,1.3102,-0.2818,75.1088
0.6137,0.4556,0.6579,0.5998,0.8526,0.6079,0.6018,3.846,1.674,-0.6579,105.3801
0.4352,0.261,0.5822,0.429,0.3997,0.4326,0.4284,2.787,0.7063,-0.5822,70.4853
0.5981,0.294,0.5293,0.4847,0.5489,0.5453,0.4826,2.2488,0.8328,-0.5293,78.2356
0.6783,0.064,0.7133,0.619,2.3608,0.6524,0.6294,4.9755,0.1367,-0.7133,93.3758
0.535,-0.0267,0.0471,0.4191,0.9793,0.4801,0.409,0.099,-0.0521,-0.0471,51.3768
0.685,0.0228,0.3273,0.5021,4.3269,0.5953,0.5026,0.9732,0.0467,-0.3273,80.4625
0.6768,0.1044,0.657,0.6141,0.9068,0.6494,0.6246,3.8317,0.2332,-0.657,75.9492
0.3728,0.0292,0.4085,0.3339,0.321,0.3557,0.3268,1.381,0.0602,-0.4085,48.2782
0.4917,-0.1119,0.2976,0.3806,0.4727,0.4387,0.3671,0.8474,-0.2013,-0.2976,42.2415
0.6059,0.2001,0.246,0.5019,1.6565,0.5581,0.5022,0.6526,0.5002,-0.246,72.4695
0.0943,0.1255,0.3366,0.0793,0.0752,0.0874,0.0741,1.0148,0.287,-0.3366,38.0495
0.2121,0.3831,0.2143,0.192,0.2134,0.2033,0.1859,0.5456,1.242,-0.2143,57.4956
0.6944,0.5082,0.7036,0.6639,1.5778,0.6814,0.6715,4.7488,2.067,-0.7036,119.1108
0.6409,0.4276,0.4753,0.6275,0.7421,0.6353,0.63,1.8117,1.4938,-0.4753,89.0978
0.419,0.1694,0.6528,0.4018,0.3465,0.4117,0.3998,3.761,0.4078,-0.6528,73.2064
0.6833,-0.1855,0.2013,0.4981,2.1659,0.5922,0.4976,0.5042,-0.313,-0.2013,55.7087
0.5215,0.0002,0.3748,0.4668,1.1938,0.4973,0.4645,1.1992,0.0004,-0.3748,59.2095
0.2759,-0.1254,0.4137,0.2434,0.4101,0.2614,0.2351,1.4112,-0.2229,-0.4137,44.4553
0.4086,0.2658,0.4187,0.3808,0.4359,0.3966,0.3769,1.4403,0.7242,-0.4187,65.4073
0.3818,0.1021,0.6715,0.3561,0.4436,0.3707,0.3518,4.0875,0.2274,-0.6715,69.6444
0.7888,0.2543,0.3113,0.6431,2.6968,0.7212,0.6764,0.904,0.6822,-0.3113,89.5442
0.5127,0.4486,0.7446,0.4952,0.9074,0.5053,0.4951,5.8294,1.627,-0.7446,109.5324
0.4376,0.5517,0.4959,0.4425,0.3943,0.4397,0.4429,1.9674,2.4617,-0.4959,99.4057
0.5208,0.2389,0.481,0.51,0.5878,0.5163,0.5102,1.8537,0.6278,-0.481,68.2079
